UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1756066384181,1,right,0.02594599,1.06489793,0.00187551,-0.08261732,0.02081585,0.07077298,0.99384720
1756066384193,0,left,-0.03906551,1.05586606,0.00535217,-0.08269853,0.02075970,0.07074127,0.99384388
1756066384193,1,right,0.02592653,1.06487951,0.00187209,-0.08269853,0.02075970,0.07074127,0.99384388
1756066384204,0,left,-0.03907676,1.05585886,0.00535807,-0.08277303,0.02077529,0.07058102,0.99384875
1756066384204,1,right,0.02591820,1.06485106,0.00187698,-0.08277303,0.02077529,0.07058102,0.99384875
1756066384215,0,left,-0.03908648,1.05584409,0.00536741,-0.08285226,0.02082872,0.07058439,0.99384079
1756066384215,1,right,0.02590813,1.06483586,0.00187860,-0.08285226,0.02082872,0.07058439,0.99384079
1756066384226,0,left,-0.03910320,1.05584510,0.00538561,-0.08286667,0.02091304,0.07069498,0.99382996
1756066384226,1,right,0.02588888,1.06485025,0.00188448,-0.08286667,0.02091304,0.07069498,0.99382996
1756066384237,0,left,-0.03912209,1.05586436,0.00538228,-0.08276585,0.02097208,0.07078013,0.99383105
1756066384237,1,right,0.02586807,1.06488028,0.00187345,-0.08276585,0.02097208,0.07078013,0.99383105
1756066384248,0,left,-0.03914191,1.05587630,0.00535092,-0.08258876,0.02100937,0.07084087,0.99384067
1756066384248,1,right,0.02584691,1.06490032,0.00183818,-0.08258876,0.02100937,0.07084087,0.99384067
1756066384259,0,left,-0.03916052,1.05589489,0.00532634,-0.08248052,0.02097902,0.07081416,0.99385220
1756066384259,1,right,0.02582899,1.06491616,0.00181883,-0.08248052,0.02097902,0.07081416,0.99385220
1756066384270,0,left,-0.03916642,1.05588857,0.00532392,-0.08246977,0.02100066,0.07084820,0.99385021
1756066384270,1,right,0.02582231,1.06491407,0.00181332,-0.08246977,0.02100066,0.07084820,0.99385021
1756066384281,0,left,-0.03917100,1.05588935,0.00532861,-0.08255029,0.02097641,0.07074216,0.99385159
1756066384281,1,right,0.02581985,1.06490105,0.00182157,-0.08255029,0.02097641,0.07074216,0.99385159
1756066384292,0,left,-0.03916609,1.05586582,0.00533797,-0.08263779,0.02099487,0.07074513,0.99384372
1756066384292,1,right,0.02582460,1.06487739,0.00182770,-0.08263779,0.02099487,0.07074513,0.99384372
1756066384304,0,left,-0.03914943,1.05584891,0.00534641,-0.08273207,0.02107511,0.07071139,0.99383658
1756066384304,1,right,0.02584144,1.06485488,0.00182516,-0.08273207,0.02107511,0.07071139,0.99383658
1756066384315,0,left,-0.03913396,1.05583504,0.00535194,-0.08275441,0.02109959,0.07067097,0.99383707
1756066384315,1,right,0.02585754,1.06483540,0.00182773,-0.08275441,0.02109959,0.07067097,0.99383707
1756066384326,0,left,-0.03913311,1.05583943,0.00534910,-0.08272052,0.02110432,0.07060037,0.99384481
1756066384326,1,right,0.02585966,1.06483068,0.00182533,-0.08272052,0.02110432,0.07060037,0.99384481
1756066384337,0,left,-0.03914610,1.05583956,0.00533423,-0.08262555,0.02110353,0.07057393,0.99385461
1756066384337,1,right,0.02584717,1.06482772,0.00181171,-0.08262555,0.02110353,0.07057393,0.99385461
1756066384348,0,left,-0.03914994,1.05585503,0.00532588,-0.08254061,0.02117839,0.07053343,0.99386295
1756066384348,1,right,0.02584365,1.06483741,0.00179479,-0.08254061,0.02117839,0.07053343,0.99386295
